,x,y,z,w,ra,dec,redshift,dist
1347,0.91,-44.51,-15.68,34.453,27.6387,-28.533,,47.1999
1348,41.73,-20.29,-1.47,34.133,27.6372,35.3593,,46.42454
1349,41.55,-19.37,-1.17,33.819,27.6386,36.3708,,45.85813
1350,18.44,-14.78,-2.73,32.804,27.6738,21.7599,,23.789387
1351,92.94,-49.53,-4.88,35.789,27.6788,33.082,,105.427124
1352,15.66,-47.53,-14.77,34.483,27.6821,-12.0356,,52.17748
1353,39.67,-19.34,-1.45,33.823,27.6843,35.2843,,44.15707
1354,92.55,-50.35,-5.26,34.463,27.6951,32.5467,,105.49072
1355,92.76,-49.39,-4.92,36.033,27.7154,33.0922,,105.204544
1356,43.23,-20.21,-1.29,34.019,27.7133,36.2758,,47.738255
1357,-6.04,-51.23,-19.09,34.329,27.7189,-36.0131,,55.00384
1358,35.97,-32.35,-6.62,33.783,27.7215,18.3024,,48.828144
1359,32.32,-34.35,-7.86,33.753,27.7585,13.2965,,47.81511
1360,5.27,-14.01,-4.29,31.465,27.7667,-9.7023,,15.571034
1361,19.98,-21.75,-5.05,33.263,27.7643,12.592,,29.962734
1362,0.57,2.04,0.81,23.15,27.7761,-44.4447,,2.2677302
1363,20.9,-41.28,-11.93,33.983,27.7966,-3.4987,,47.782562
1364,22.2,-17.4,-3.22,32.643,27.8232,22.3579,,28.389582
1365,221.86,-118.1,-12.24,37.553,27.8379,33.0591,,251.63324
1366,92.48,-48.98,-5.01,35.809,27.8386,33.1865,,104.76971
1367,41.93,-20.77,-1.75,34.383,27.8231,34.8487,,46.824997
1368,94.11,-50.14,-5.23,35.789,27.8484,33.0311,,106.76172
1369,29.83,-33.16,-7.93,34.083,27.9411,11.9016,,45.30231
1370,7.22,-16.33,-4.89,32.913,27.8682,-6.5165,,18.512411
1371,41.42,-19.49,-1.39,33.913,27.8718,36.0658,,45.797474
1372,72.56,-63.42,-13.0,35.674,27.901,19.1035,,97.242226
1373,62.12,-36.6,-4.8,35.053,27.9299,30.385,,72.25991
1374,93.83,-48.94,-4.98,35.789,27.9393,33.5374,,105.943344
1375,85.24,-143.95,-40.42,36.902,27.9522,0.2638,,172.10822
1376,34.19,-30.79,-6.49,33.593,27.9473,18.1874,,46.46612
1377,31.8,-29.75,-6.45,33.783,27.9666,17.0529,,44.02164
1378,5.55,-11.95,-3.56,32.613,27.9588,-5.4976,,13.648392
1379,32.13,-134.41,-44.22,35.459,27.9865,-16.7881,,145.09926
1380,8.18,-82.86,-28.82,35.323,27.9799,-24.3167,,88.109505
1381,41.83,-20.01,-1.61,33.363,28.002,35.6391,,46.39764
1382,-1.36,-36.07,-13.21,33.683,27.9863,-31.7364,,38.436943
1383,31.29,-38.62,-9.73,34.703,27.9806,8.8311,,50.648212
1384,15.12,-86.05,-29.09,35.883,28.0142,-20.1663,,92.0839
1385,55.79,-18.95,0.61,34.233,28.0456,42.9182,,58.923668
1386,35.62,-32.76,-7.15,34.903,28.1159,17.5125,,48.91957
1387,41.93,-19.63,-1.56,34.399,28.1358,36.1151,,46.32381
1388,-10.19,-89.3,-33.84,35.453,28.1367,-35.8398,,96.03891
1389,41.85,-19.57,-1.56,33.879,28.1571,36.1267,,46.22598
1390,42.16,-19.68,-1.56,34.399,28.1654,36.1712,,46.55321
1391,41.88,-19.56,-1.58,33.906,28.1939,36.1519,,46.249588
1392,20.7,-40.59,-12.07,34.283,28.2042,-3.4469,,47.13516
1393,31.5,-33.96,-8.26,33.723,28.2488,12.7084,,47.050602
1394,3.78,-12.67,-4.13,32.136,28.2522,-13.7386,,13.851867
1395,42.79,-19.4,-1.46,34.199,28.285,36.8199,,47.005062
1396,74.16,-57.1,-11.18,35.583,28.3092,22.7214,,94.26085
1397,68.51,-57.91,-12.27,35.423,28.3419,19.9538,,90.541374
1398,40.98,-18.45,-1.39,34.169,28.3456,36.9552,,44.963264
1399,30.45,-37.95,-9.99,34.763,28.3935,8.4085,,49.670967
1400,52.92,-53.13,-12.73,34.923,28.4613,14.7641,,76.06166
1401,63.19,-37.63,-5.62,35.082,28.4262,29.9331,,73.76027
1402,42.11,-19.43,-1.69,33.999,28.4589,36.3503,,46.407253
1403,41.1,-18.77,-1.58,33.953,28.4725,36.5849,,45.21083
1404,42.45,-19.4,-1.63,33.173,28.461,36.5642,,46.701385
1405,21.76,-38.02,-11.24,33.673,28.4965,-0.7502,,45.22561
1406,33.43,-33.38,-8.02,34.093,28.5153,14.9095,,47.91774
1407,41.89,-19.98,-1.98,33.733,28.5464,35.5348,,46.453125
1408,34.22,-30.7,-6.96,33.303,28.5564,18.1017,,46.496666
1409,43.32,-19.71,-1.72,34.303,28.5827,36.6298,,47.624207
1410,-19.1,-50.1,-21.09,34.583,28.5921,-49.2606,,57.61604
1411,29.47,-40.72,-11.33,33.483,28.6001,5.4215,,51.526382
1412,48.21,-43.84,-10.11,34.373,28.6302,17.6743,,65.94211
1413,26.14,-107.58,-36.67,35.189,28.6209,-16.7071,,116.62523
1414,34.78,-32.48,-7.62,33.243,28.6444,16.866,,48.194016
1415,31.91,-44.06,-12.34,33.583,28.6773,5.426,,55.783577
1416,32.35,-30.0,-7.02,34.453,28.6563,17.0754,,44.67441
1417,-26.01,-49.45,-21.79,34.339,28.6703,-55.663,,59.97188
1418,28.72,-38.8,-10.78,34.443,28.6707,6.0348,,49.461975
1419,49.46,-19.86,-1.06,33.783,28.6895,39.3835,,53.30886
1420,35.34,-29.01,-6.3,34.533,28.6956,20.6983,,46.153934
1421,34.23,-30.62,-7.04,33.943,28.6985,18.1423,,46.463306
1422,41.33,-18.54,-1.64,34.029,28.7246,36.9178,,45.327587
1423,39.77,-65.16,-19.28,35.723,28.7261,0.8112,,78.73498
1424,43.69,-19.59,-1.75,33.373,28.7578,36.9199,,47.912907
1425,42.11,-18.54,-1.55,33.543,28.7401,37.3429,,46.036793
1426,41.87,-20.01,-2.14,34.013,28.7424,35.4209,,46.455105
1427,28.97,-40.02,-11.31,34.213,28.7787,5.3736,,50.68311
1428,45.13,-10.31,1.88,34.363,28.8083,49.0279,,46.33085
1429,41.54,-19.96,-2.19,33.499,28.7925,35.2819,,46.138588
1430,40.39,-18.62,-1.84,33.733,28.7949,36.2607,,44.513393
1431,40.75,-19.43,-2.11,35.393,28.8083,35.4586,,45.19446
1432,35.58,-41.77,-11.16,34.593,28.8159,10.0135,,55.99299
1433,41.82,-19.23,-1.92,34.533,28.8384,36.3069,,46.069424
1434,38.01,-30.49,-6.69,34.473,28.9025,21.3176,,49.18492
1435,16.39,-45.58,-15.09,33.173,28.8828,-10.7997,,50.733387
1436,59.28,-15.79,1.53,34.773,28.9259,46.802,,61.36598
1437,57.53,-52.33,-12.61,35.253,29.0133,17.5317,,78.785416
1438,40.75,-21.31,-2.95,33.273,29.0091,33.1339,,46.08016
1439,80.36,-72.81,-17.55,35.053,29.0368,17.6412,,109.85003
1440,30.21,-39.63,-11.26,34.113,29.0462,6.7448,,51.087852
1441,26.31,-37.19,-10.84,34.753,29.0706,4.647,,46.827534
1442,1.89,-14.81,-5.39,32.803,29.0667,-22.9011,,15.873258
1443,49.71,-52.29,-13.64,35.423,29.0635,13.1658,,73.426
1444,27.13,4.81,5.22,33.343,29.08,73.2828,,28.043205
1445,29.2,-39.83,-11.5,34.163,29.0876,5.6288,,50.708176
1446,40.4,-17.62,-1.65,34.493,29.088,37.4522,,44.106087
1447,21.36,-43.33,-13.81,34.099,29.0907,-4.4677,,50.24395
1448,4.82,-12.17,-4.03,31.533,29.0941,-9.0617,,13.696065
1449,42.47,-18.71,-1.82,33.773,29.0993,37.2159,,46.444347
1450,81.1,-73.19,-17.88,36.153,29.178,17.7107,,110.69634
1451,38.94,-19.49,-2.59,34.303,29.1582,34.177,,43.622147
1452,37.47,-43.37,-11.89,34.903,29.1609,10.3115,,58.53486
1453,41.02,-19.36,-2.29,33.843,29.1661,35.5924,,45.416893
1454,30.68,-30.3,-7.76,34.173,29.1812,15.0146,,43.812897
1455,-13.52,-49.85,-20.72,34.573,29.1853,-43.9726,,55.651875
1456,65.43,-111.0,-34.33,36.462,29.2019,-0.2126,,133.34404
1457,42.73,-19.07,-1.99,35.353,29.1919,36.8864,,46.83458
1458,44.25,-24.4,-3.85,34.613,29.2094,31.7031,,50.677856
1459,19.26,-35.14,-11.06,33.673,29.2221,-2.0191,,41.570312
1460,38.33,-20.08,-2.94,33.933,29.2289,33.0151,,43.370945
1461,4.9,-14.34,-4.89,32.183,29.2461,-11.7805,,15.923495
1462,31.09,-53.24,-16.59,34.883,29.2721,-0.4683,,63.846016
1463,38.11,-20.13,-3.02,34.193,29.2782,32.7886,,43.205433
1464,52.76,-52.85,-13.79,35.323,29.2908,14.5499,,75.94013
1465,25.43,-36.23,-10.81,34.163,29.3357,4.3484,,45.56483
1466,17.61,-45.28,-15.29,34.733,29.3769,-9.4623,,50.93304
1467,55.68,-51.72,-13.15,34.353,29.4003,16.7728,,77.12421
1468,32.79,-44.24,-13.08,34.153,29.4206,5.833,,56.59901
1469,19.29,-41.17,-13.54,33.263,29.4223,-5.6753,,47.43843
1470,41.75,-19.37,-2.39,33.093,29.426,35.916,,46.086567
1471,-3.2,-50.38,-19.87,34.603,29.4527,-33.2397,,54.251278
1472,42.54,-18.53,-1.99,34.823,29.4589,37.3618,,46.44322
1473,42.56,-19.38,-2.32,34.067,29.4601,36.343,,46.82222
1474,4.59,-1.36,0.03,30.123,29.4626,44.9186,,4.7873373
1475,-15.31,-99.37,-40.36,35.563,29.4948,-38.0195,,108.34077
1476,41.93,-18.61,-2.12,33.619,29.4996,36.9178,,45.92332
1477,25.07,-35.59,-10.75,34.223,29.4996,4.3951,,44.841003
1478,-9.57,-89.15,-35.71,35.763,29.5023,-35.5726,,96.51172
1479,24.83,-36.59,-11.18,33.863,29.5121,3.3693,,45.610847
1480,31.43,-48.63,-15.07,34.483,29.5356,2.0644,,59.831654
1481,-43.72,-122.38,-52.8,36.959,29.5418,-48.1269,,140.27167
1482,-8.92,-48.6,-19.95,34.653,29.5536,-39.5447,,53.28723
1483,36.82,-28.49,-6.68,34.003,29.6283,22.1157,,47.032063
1484,24.88,-36.56,-11.15,33.743,29.5053,3.4539,,45.606693
1485,38.35,-26.53,-5.73,33.263,29.6253,25.36,,46.982937
1486,-2.52,-26.89,-10.79,32.503,29.6378,-34.8637,,29.083443
1487,33.7,-55.23,-17.53,34.373,29.6704,0.5293,,67.03241
1488,30.77,4.34,5.4,32.973,29.6098,71.1189,,31.540268
1489,29.74,-40.32,-12.23,34.213,29.7222,5.5939,,51.572697
1490,16.57,-39.67,-13.54,32.793,29.7162,-8.1625,,45.073334
1491,42.06,-18.8,-2.34,34.019,29.7287,36.6747,,46.129807
1492,41.52,-19.05,-2.54,34.213,29.7777,36.063,,45.75221
1493,38.7,-26.7,-5.88,33.463,29.7897,25.3856,,47.38306
1494,90.23,-80.02,-20.77,36.493,29.8248,18.01,,122.376656
1495,29.27,-20.88,-4.74,32.503,29.8152,24.4165,,36.26534
1496,16.43,-14.09,-3.6,32.208,29.8317,19.0075,,21.941582
1497,29.72,-30.18,-8.39,33.383,29.8789,13.9437,,43.17989
1498,29.83,-30.22,-8.4,33.418,29.8947,14.0082,,43.285534
1499,36.06,-20.32,-3.77,33.653,29.9,30.9099,,41.56247
1500,41.72,-26.72,-5.63,33.473,29.9088,27.4337,,49.861946
1501,4.53,-9.74,-3.31,31.483,29.9271,-5.9639,,11.240312
1502,43.1,-23.2,-4.1,34.073,29.9283,32.0815,,49.118835
1503,18.66,-43.87,-15.14,34.243,29.9353,-7.8391,,50.019917
1504,-24.41,-45.98,-21.05,33.869,29.9559,-55.8243,,56.15257
1505,38.49,-27.51,-6.38,34.103,29.9802,24.3122,,47.738712
1506,42.02,-18.79,-2.52,34.233,29.9947,36.5917,,46.09875
1507,16.68,-46.45,-16.45,34.933,29.9975,-11.079,,52.023335
1508,39.32,-66.25,-21.68,35.513,30.0203,-0.2791,,80.032166
1509,-9.72,-93.77,-38.36,35.943,30.042,-35.4104,,101.7781
1510,41.23,-22.72,-4.23,34.11,30.0621,31.4294,,47.265255
1511,35.45,-28.05,-7.04,33.993,30.0819,21.3018,,45.750046
1512,37.94,-26.93,-6.3,34.563,30.0795,24.4737,,46.950596
1513,34.06,-32.24,-8.88,34.403,30.1062,15.9631,,47.732124
1514,35.3,-28.11,-7.09,33.743,30.099,21.1083,,45.678555
1515,38.29,-27.07,-6.33,33.763,30.0975,24.5806,,47.31784
1516,67.05,-62.2,-17.01,34.893,30.1184,16.5596,,93.026245
1517,21.69,-17.16,-4.33,32.333,30.1341,21.2875,,27.994118
1518,3.58,-39.23,-15.28,34.179,30.208,-25.0268,,42.252666
1519,67.45,-60.15,-16.27,35.383,30.1962,17.7136,,91.82722
1520,-1.83,-48.69,-19.7,34.383,30.2287,-31.9199,,52.55621
1521,35.93,-14.89,-1.83,33.543,30.2295,38.2105,,38.936176
1522,27.29,-33.43,-10.26,33.943,30.2454,8.3111,,44.357372
1523,42.7,-17.94,-2.28,33.683,30.2446,37.9117,,46.371674
1524,37.89,-27.83,-6.81,34.353,30.2634,23.4178,,47.50302
1525,41.88,-22.62,-4.28,33.712,30.2775,31.8822,,47.790348
1526,16.34,-13.62,-3.6,32.563,30.3006,19.6751,,21.574522
1527,30.83,-17.64,-3.56,32.923,30.3071,30.3575,,35.69779
1528,-3.54,-42.34,-17.42,33.343,30.3106,-34.3631,,45.92019
1529,-0.54,0.33,0.07,28.6,30.3208,28.8372,,0.6367103
1530,58.74,-102.74,-34.63,36.039,30.3375,-1.3032,,123.30909
1531,42.34,-27.9,-6.43,34.783,30.3783,26.4809,,51.111942
1532,59.16,-103.45,-35.15,36.599,30.4593,-1.3304,,124.247055
1533,14.72,-39.4,-14.27,33.023,30.4632,-10.4676,,44.414764
1534,-29.79,-49.68,-23.48,34.173,30.4989,-58.5709,,62.504856
1535,27.4,-45.57,-15.43,33.832,30.5514,-0.1006,,55.366684
1536,1.06,-44.14,-17.8,34.273,30.55,-28.6574,,47.605705
1537,15.75,-13.31,-3.65,32.093,30.57,19.1798,,20.941374
1538,-22.9,-48.56,-22.31,34.753,30.5928,-53.2707,,58.139656
1539,-22.05,-52.67,-23.92,35.029,30.6285,-50.9317,,61.90717
1540,57.31,-51.77,-14.72,34.983,30.6433,17.1678,,78.62091
1541,95.63,-72.44,-18.9,35.963,30.6497,22.3811,,121.449005
1542,51.58,-72.91,-23.99,35.493,30.6495,4.1513,,92.4764
1543,44.06,-55.16,-17.7,35.093,30.7288,7.5239,,72.78186
1544,12.4,-31.66,-11.6,33.073,30.758,-9.657,,35.925972
1545,32.7,-48.86,-16.43,34.903,30.7718,2.6142,,61.04535
1546,20.57,-14.83,-3.84,32.513,30.8372,23.7608,,25.6476
1547,40.7,-20.36,-3.9,34.143,30.8317,33.6307,,45.675262
1548,46.3,-139.76,-52.33,36.789,30.8217,-12.6381,,156.25293
1549,69.85,-15.97,1.03,35.273,30.9015,48.4553,,71.65978
1550,25.33,-34.89,-11.62,33.923,30.8979,4.7857,,44.653614
1551,54.55,-51.53,-15.3,35.113,30.9044,15.7467,,76.58416
1552,39.15,-25.8,-6.38,34.153,30.921,26.2767,,47.31878
1553,50.91,-20.83,-3.07,33.683,30.9375,38.2589,,55.09212
1554,13.06,-12.21,-3.62,31.743,30.9365,16.0309,,18.241493
1555,83.9,-27.07,-2.07,35.453,30.9542,43.0022,,88.18322
1556,-23.4,-51.66,-23.89,34.873,30.9558,-52.4477,,61.538994
1557,23.6,-23.04,-6.96,33.273,30.9576,14.7391,,33.708206
1558,61.96,-51.26,-14.49,34.463,30.9841,19.6688,,81.710396
1559,5.45,-43.52,-17.42,34.133,30.9866,-23.3123,,47.192684
1560,32.44,-48.02,-16.39,33.773,31.0206,2.7868,,60.2238
1561,18.25,-44.23,-16.41,34.334,31.0791,-8.7353,,50.583035
1562,4.42,-9.46,-3.47,31.323,31.1309,-6.199,,11.003131
1563,37.33,-23.12,-5.63,33.763,31.1332,27.9253,,44.26918
1564,68.16,-52.71,-14.69,35.412,31.1521,21.5916,,87.40667
1565,20.2,-24.28,-7.98,33.413,31.1826,8.5431,,32.57666
1566,49.58,-53.97,-17.28,35.543,31.2114,11.4228,,75.29632
1567,83.15,-26.48,-2.25,36.043,31.2313,43.155,,87.29362
1568,65.27,-61.17,-18.71,35.793,31.2659,15.8516,,91.38931
1569,37.14,-25.79,-6.89,33.983,31.2926,24.6661,,45.73812
1570,53.28,-13.97,-0.22,33.303,31.2829,46.3759,,55.081463
1571,47.75,-54.64,-17.89,34.803,31.3083,9.9253,,74.73717
1572,45.31,-18.97,-3.18,34.683,31.3139,37.6338,,49.223667
1573,37.44,-17.73,-3.5,34.613,31.3213,34.7887,,41.573505
1574,42.77,-24.47,-5.76,33.663,31.3121,30.0047,,49.610798
1575,36.99,-25.28,-6.72,34.053,31.3347,25.1054,,45.30449
1576,33.84,-40.62,-13.5,35.113,31.3374,8.5261,,54.565372
1577,49.3,-50.24,-15.95,34.763,31.3612,13.3273,,72.17306
1578,37.52,-17.68,-3.51,33.813,31.3905,34.8809,,41.62515
1579,42.81,-25.78,-6.37,34.053,31.3884,28.6106,,50.377388
1580,-52.69,-53.95,-28.25,34.793,31.4293,-71.1157,,80.528885
1581,73.97,-13.89,1.82,35.263,31.4782,50.7377,,75.28483
1582,19.79,-40.52,-15.04,34.093,31.4525,-5.2939,,47.536472
1583,85.14,-82.11,-25.87,37.083,31.4925,14.9193,,121.07902
1584,59.28,-50.79,-15.31,34.353,31.4855,18.4481,,79.5496
1585,56.24,-65.61,-21.93,35.143,31.513,9.2955,,89.15456
1586,48.8,-49.7,-15.99,35.083,31.5249,13.2853,,71.464745
1587,52.11,-93.8,-34.44,37.439,31.5802,-2.3563,,112.694305
1588,56.04,-65.47,-22.01,35.473,31.5808,9.2274,,88.94517
1589,-10.3,-46.48,-20.78,33.753,31.5683,-41.5231,,51.945057
1590,-21.37,-48.11,-22.62,34.353,31.5867,-52.0281,,57.296715
1591,39.2,-24.92,-6.56,34.283,31.6134,27.0332,,46.911407
1592,50.67,-72.01,-25.39,34.743,31.6081,3.706,,91.6381
1593,-3.14,-95.25,-40.86,35.783,31.6526,-31.7779,,103.691666
1594,33.94,-52.32,-18.8,35.233,31.6533,1.5158,,65.13637
1595,47.25,-13.75,-1.06,33.693,31.7151,44.5716,,49.221424
1596,19.32,-23.39,-8.04,33.653,31.7553,8.1304,,31.384647
1597,50.86,-16.21,-1.79,34.093,31.7847,42.9657,,53.410748
1598,48.34,-56.82,-19.45,35.403,31.8011,8.978,,77.09456
1599,50.28,-15.29,-1.5,33.913,31.8399,43.7731,,52.57483
1600,-8.28,-85.4,-37.52,36.089,31.8726,-35.1508,,93.64544
1601,55.37,-64.61,-22.19,35.223,31.8693,9.1683,,87.935684
1602,36.41,-30.27,-9.34,34.083,31.8648,19.1951,,48.26175
1603,32.9,-29.25,-9.28,33.873,31.8905,17.2026,,44.9899
1604,-46.46,-57.58,-29.44,35.523,31.9276,-65.928,,79.628525
1605,58.05,-15.77,-0.99,34.473,31.9279,45.623,,60.162075
1606,60.14,-17.13,-1.4,35.253,31.965,44.844,,62.547714
1607,53.09,-48.72,-15.75,34.983,31.9883,16.2195,,73.75804
1608,78.35,-24.02,-2.58,35.013,31.983,43.5888,,81.989876
1609,39.64,-23.91,-6.4,33.543,32.0166,28.3322,,46.733047
1610,1.34,-49.29,-21.18,34.703,32.0313,-28.6366,,53.664627
1611,8.96,-85.68,-36.26,35.653,32.0863,-24.5475,,93.46728
1612,9.58,-10.47,-3.6,31.823,32.088,10.995,,14.640946
1613,29.41,-28.1,-9.3,33.243,32.1026,14.9718,,41.72587
1614,-6.89,-44.6,-20.03,33.713,32.1051,-38.1261,,49.374416
1615,28.85,-28.15,-9.37,33.953,32.1041,14.3495,,41.38287
1616,19.19,-24.61,-8.79,32.813,32.1156,6.3949,,32.421787
1617,37.04,-30.91,-9.79,34.393,32.1288,18.9953,,49.226353
1618,18.56,-23.84,-8.54,33.973,32.1348,6.3238,,31.39667
1619,53.67,-49.12,-16.1,34.783,32.1572,16.2402,,74.514786
1620,37.33,-14.62,-2.72,33.773,32.1855,38.7773,,40.18298
1621,64.98,-95.12,-35.12,37.223,32.2135,2.7192,,120.431015
1622,19.57,-23.7,-8.44,33.433,32.2344,7.9714,,31.87332
1623,37.87,-24.75,-7.12,34.063,32.2371,26.0356,,45.797314
1624,14.35,-31.58,-12.39,33.643,32.2446,-7.0589,,36.833828
1625,17.94,-23.15,-8.37,33.843,32.2593,6.1584,,30.460188
1626,17.92,-24.01,-8.75,32.573,32.2689,5.1129,,31.211681
1627,39.37,-16.54,-3.43,33.793,32.2981,37.2111,,42.84079
1628,37.86,-25.13,-7.34,34.373,32.3089,25.5707,,46.03012
1629,6.01,-47.46,-20.2,34.293,32.326,-23.4152,,51.92891
1630,5.85,-14.66,-5.87,31.743,32.3678,-9.68,,16.840279
1631,62.58,-47.65,-14.9,35.163,32.3745,21.6007,,80.05491
1632,39.16,-16.4,-3.43,34.303,32.3605,37.2582,,42.593784
1633,37.91,-29.21,-9.19,34.043,32.3858,21.2471,,48.732414
1634,19.03,-41.52,-16.43,33.323,32.4139,-6.9222,,48.538605
1635,42.36,-52.37,-18.99,34.303,32.4368,7.3174,,69.9829
1636,13.53,-30.72,-12.24,32.639,32.4618,-7.7625,,35.729496
1637,28.15,-30.66,-10.83,34.043,32.4748,10.9611,,43.008686
1638,69.54,-74.77,-26.32,35.683,32.4729,11.3466,,105.447174
1639,57.02,-52.34,-17.65,35.183,32.487,16.0326,,79.386894
1640,49.0,-19.65,-4.01,34.163,32.4855,38.1784,,52.94528
1641,44.2,-48.48,-17.16,34.643,32.4816,10.7619,,67.81162
1642,-1.55,-28.71,-12.82,33.483,32.5257,-32.9399,,31.480453
1643,19.39,-23.67,-8.62,33.603,32.5371,7.6459,,31.789076
1644,39.08,-13.25,-2.17,33.563,32.5497,41.5623,,41.32212
1645,42.81,-51.87,-18.9,34.843,32.5675,7.8453,,69.85988
1646,6.13,-15.33,-6.2,31.403,32.5639,-9.7065,,17.635923
1647,7.1,-48.61,-20.82,34.553,32.5677,-22.4317,,53.35555
1648,64.73,-25.41,-5.15,34.513,32.5769,38.5934,,69.72922
1649,17.02,-26.28,-10.03,33.973,32.5939,1.2012,,32.877342
1650,16.44,-25.82,-9.91,33.653,32.6382,0.7381,,32.17381
1651,25.13,-32.62,-12.13,34.623,32.6573,5.87,,42.926895
1652,6.45,-45.38,-19.54,34.683,32.6652,-22.6523,,49.827286
1653,-56.72,-50.21,-27.58,35.423,32.6714,-75.0376,,80.6155
1654,49.94,-106.89,-42.82,35.829,32.6799,-6.5799,,125.51107
1655,116.73,-53.71,-13.03,36.202,32.7026,34.9845,,129.15277
1656,94.92,-43.41,-10.43,35.883,32.6703,35.1367,,104.89528
1657,-8.06,-45.12,-20.83,34.513,32.7278,-39.3658,,50.345474
1658,34.29,-17.3,-4.53,34.083,32.7486,32.7304,,38.673183
1659,39.31,-15.95,-3.47,33.203,32.749,37.8239,,42.564297
1660,39.56,-16.17,-3.55,33.243,32.7553,37.6664,,42.88432
1661,29.57,-26.01,-8.86,33.133,32.7614,17.1995,,40.365883
1662,16.61,-23.16,-8.8,32.753,32.7833,3.8525,,29.828136
1663,64.55,-25.06,-5.24,34.763,32.7987,38.7577,,69.4418
1664,37.2,-63.68,-25.01,34.829,32.8071,-1.4855,,77.87479
1665,39.42,-16.22,-3.62,33.723,32.8222,37.4972,,42.78001
1666,53.91,-49.48,-17.2,35.253,32.8554,15.8987,,75.169136
1667,-5.95,-54.36,-24.89,34.383,32.8781,-35.8351,,60.082645
1668,-54.49,-51.6,-28.09,34.899,32.886,-73.1619,,80.1297
1669,41.54,-21.95,-6.04,33.593,32.8953,31.5094,,47.369354
1670,53.05,-25.31,-6.52,34.693,32.9106,34.0443,,59.138897
1671,19.06,-40.49,-16.44,34.353,32.9331,-6.4901,,47.67596
1672,7.24,-37.02,-15.96,34.473,32.9433,-19.9226,,40.958755
1673,9.79,-42.97,-18.4,34.043,32.9428,-18.266,,47.757984
1674,28.72,-28.03,-10.02,34.393,33.0008,14.0163,,41.363266
1675,15.23,-81.51,-35.28,35.293,32.9845,-20.3762,,90.113884
1676,39.94,-22.92,-6.7,34.733,32.9894,29.3136,,46.534073
1677,-46.32,-115.28,-56.16,35.589,33.0641,-50.0764,,136.34135
1678,39.17,-16.06,-3.75,33.203,33.0825,37.4773,,42.500294
1679,28.95,-25.64,-9.02,34.233,33.1293,16.8554,,39.709854
1680,-5.19,-52.04,-24.01,34.493,33.1426,-35.3409,,57.54631
1681,-43.51,-115.32,-56.1,35.959,33.1621,-48.9588,,135.42168
1682,76.72,-62.77,-21.67,35.883,33.1903,19.185,,101.46734
1683,4.18,-20.07,-8.75,33.223,33.2279,-19.3169,,22.289904
1684,0.0,0.0,0.0,28.12,33.2296,32.8137,,0.0
1685,50.29,-57.02,-21.56,35.383,33.2971,9.511,,79.026566
1686,50.79,-106.72,-44.15,36.489,33.2953,-6.3408,,126.16658
1687,-51.49,-52.85,-28.58,35.073,33.299,-70.9131,,79.12749
1688,47.56,-86.47,-35.31,35.529,33.3437,-3.0892,,104.81322
1689,17.25,-38.58,-16.08,34.325,33.3162,-7.6626,,45.21665
1690,52.33,-17.8,-3.54,34.463,33.3186,41.2428,,55.38773
1691,43.94,-139.93,-59.91,37.049,33.3088,-14.0076,,158.43086
1692,19.83,-90.94,-39.79,35.673,33.3585,-18.8334,,101.22527
1693,49.85,-68.63,-27.01,35.003,33.368,4.0064,,89.02045
1694,37.37,-24.2,-7.82,33.333,33.3914,25.8554,,45.20298
1695,78.01,-69.47,-25.02,35.693,33.4086,16.5941,,107.413414
1696,21.66,-23.84,-9.03,32.843,33.4014,10.3358,,33.452087
1697,75.23,-39.93,-11.77,34.893,33.4175,31.1918,,85.97959
1698,19.46,-13.04,-4.29,32.993,33.4404,24.8906,,23.814644
1699,76.23,-67.38,-24.31,35.183,33.4532,16.7973,,104.60427
1700,44.74,-25.91,-8.05,34.293,33.4809,28.8781,,52.323975
1701,57.47,-51.34,-18.67,35.633,33.5178,16.4559,,79.29165
1702,2.89,-1.74,-0.55,29.723,33.5149,27.8769,,3.4179235
1703,27.79,-81.95,-35.29,35.529,33.525,-12.8202,,93.45304
1704,7.28,-15.59,-6.55,33.403,33.5394,-6.8063,,18.410568
1705,-0.59,-31.8,-14.68,33.623,33.5538,-31.1492,,35.02985
1706,101.69,-122.86,-47.92,37.003,33.572,7.5884,,166.52856
1707,18.21,-40.01,-16.91,33.513,33.6084,-7.3681,,47.09939
1708,13.78,-41.7,-18.08,34.289,33.6264,-13.2634,,47.49384
1709,47.75,-104.58,-44.28,35.813,33.6495,-7.3101,,123.198044
1710,44.17,-23.09,-6.99,34.213,33.7109,31.4704,,50.328888
1711,2.39,-12.45,-5.57,30.973,33.7386,-20.2117,,13.847003
1712,37.28,-18.52,-5.49,33.813,33.7674,32.7249,,41.987247
1713,25.31,-139.49,-62.63,36.662,33.7692,-20.7678,,154.98572
1714,32.71,-24.1,-8.51,33.903,33.8359,22.0059,,41.511135
1715,8.72,-36.27,-16.17,33.773,33.8552,-17.781,,40.657352
1716,7.65,-9.74,-3.91,30.923,33.8649,6.0022,,12.9876175
1717,43.63,-42.36,-16.15,35.453,33.8745,13.8592,,62.91875
1718,45.92,-68.57,-28.23,34.793,33.9081,1.662,,87.22055
1719,39.7,-26.11,-8.95,33.893,33.9339,25.2065,,48.35209
1720,-0.58,-30.09,-14.11,33.853,33.9582,-31.2009,,33.239082
1721,19.54,-89.51,-40.27,34.819,33.9652,-18.9142,,100.07759
