ra,dec,dist,sigma_dist,d_dist
0.007,47.2745,47.09394,0.6862502459015953,0.20911217091189455
0.0144,23.0876,40.959538,0.6399963906148223,-0.6399963906148223
0.0358,-6.3739,61.662693,0.7852559646382828,0.5892962776769525
0.0471,-5.1587,52.909164,0.727386857181239,0.6841544130313684
0.0938,39.4955,0.3352611,0.05790173572527856,-0.05790173572527856
0.1558,33.6009,44.388527,0.6662471538400747,-0.6662471538400747
0.218,-35.8436,148.39233,1.2181639052278639,0.15573056476816494
0.2215,-35.9863,142.47404,1.193624899204101,-0.3774750324101519
0.2306,-18.9589,72.974396,0.854250525314442,-0.014352397623929383
0.2336,20.338,64.155174,0.8009692503461041,-0.6832619551809067
0.2454,28.9115,65.50128,0.809328610639708,0.7117219411951059
0.2698,4.5406,90.88045,0.9533123832196874,0.7414786836128239
0.3125,13.1125,49.96707,0.7068738925720769,0.04667537621434633
0.5037,80.6417,39.830746,0.6311160432123399,0.6311160432123399
0.2844,6.3372,142.22824,1.1925948180333503,0.5575492189519696
0.3324,34.5257,47.093437,0.6862465810479496,-0.5896865147738943
0.3922,-36.3167,145.66199,1.2069050915461415,0.4450471988207997
0.4386,-4.3469,138.56572,1.1771394140032863,-1.1287385028377948
0.4097,23.4836,43.56522,0.6600395442698869,0.579811936538597
0.4002,-14.7486,108.74819,1.0428240024088438,-0.05206393831859191
0.4027,3.5056,59.6068,0.7720544022282367,-0.14272380158143513
0.4231,32.1078,121.16242,1.100738025144948,-0.7495250419700435
0.4926,-15.4609,4.3731337,0.20912038877163558,0.20912038877163558
0.4884,-27.9994,93.60268,0.9674847802420461,-0.14950492200025225
0.5133,17.5739,59.76245,0.7730617698476623,-0.3311238642764064
0.5163,12.531,75.38975,0.8682727106157375,-0.30574795238115876
0.5959,27.2106,72.403435,0.8509020801478864,0.45294299326917165
0.5877,77.2569,23.220814,0.4818797982899885,0.17610011202203565
0.6452,-3.7108,60.808716,0.779799435752553,0.3218486576392293
0.6664,8.737,51.554413,0.7180140179690088,0.30933551939512827
0.6837,-43.9672,114.63446,1.0706748339248475,1.0706748339248475
0.6932,18.8863,74.962204,0.8658071609775471,-0.3518770315146073
0.7276,-35.7222,146.79926,1.2116074446783498,-0.6206371040254296
0.7375,4.2086,82.1537,0.9063867827809494,-0.7375928450714697
0.7737,-1.9139,68.735954,0.8290714926952923,0.5106909793442505
0.7968,15.9655,107.83026,1.038413501453058,1.038413501453058
0.8218,3.6221,75.842834,0.8708779133724772,-0.0992343241565763
0.8121,16.1456,6.9298844,0.2632467359721674,-0.22116845026626097
0.8274,22.6417,67.39277,0.8209309958821143,-0.6768421854835055
0.8389,-50.0804,102.3773,1.011816683001422,0.658280636561437
0.8352,8.6189,112.96678,1.0628583160515799,0.7899738768036033
0.9117,11.498,167.5957,1.2945875791154495,0.7031607692914457
0.8958,23.2008,68.78374,0.82935963248762,-0.5519468862538951
0.9335,28.5557,75.68672,0.8699811492210622,0.20197597464626715
0.9366,4.2981,111.09859,1.0540331588712,0.12299071200404371
0.9346,16.1868,60.224796,0.7760463645942812,0.16971249046977532
0.9528,-43.6183,87.36308,0.9346821919775726,0.8145089603249515
0.9653,-50.7666,103.13688,1.0155632919715047,0.22707543158379148
0.9953,20.7523,19.563145,0.4423024417748561,0.3002851267007669
1.0051,-51.3941,102.290695,1.0113886246146928,0.06834870214311069
1.0063,-11.1742,108.30437,1.040693855079389,0.3008847816009144
1.0583,-51.2235,102.39477,1.0119030091861572,0.6388024553898094
1.0627,-50.646,115.79091,1.0760618476649009,-1.0760618476649009
1.0504,-14.5236,69.19397,0.8318291290884204,-0.26591182949713
1.0542,10.7905,75.723526,0.8701926568295093,-0.409314829738996
1.0614,22.5881,40.90261,0.6395514834632159,-0.40859527559581665
1.1043,6.1776,47.134117,0.6865429119872989,-0.1888969623679084
1.102,31.472,46.28972,0.6803654900125373,0.6803654900125373
1.12,5.8472,27.54359,0.5248198738614993,-0.45440537692348915
1.1364,33.559,44.26576,0.665325183650822,0.6442199740936928
1.2725,-7.0934,34.514366,0.5874892850086715,-0.5874892850086715
1.1759,-30.4836,76.731415,0.875964696777216,-0.29334746374671816
1.1968,-1.5703,67.87525,0.8238643699056296,0.13408645143294534
1.2155,-54.4873,102.016075,1.0100300738096861,0.592102184611698
1.2425,-60.0263,88.24195,0.9393718645988924,0.6681062384123071
1.2471,18.2988,58.817215,0.766923822814235,0.6084368944386307
1.2761,6.9201,57.67226,0.7594225437791533,-0.2648296814464775
1.2968,-50.348,102.7982,1.0138944718263336,-0.46877592662159984
1.3078,6.7719,59.00738,0.768162612992848,0.6590649948313368
1.3197,-16.4769,70.542564,0.8398962078733301,-0.1606757770178359
1.3659,-50.5819,103.41489,1.0169311186112855,-1.0169311186112855
1.3708,-50.2703,103.761116,1.0186320042095673,-1.0186320042095673
1.372,-49.6203,102.444725,1.012149815985756,-0.9306234620842136
1.383,-28.0983,4.396817,0.20968588412194086,0.10424759016763546
1.3929,53.6313,92.09295,0.9596507177093132,0.13667895984039516
1.4163,-53.8169,100.94103,1.0046941325597556,0.6937265838503321
1.4517,27.4491,71.26627,0.8441935204679081,-0.3606839156400689
1.4871,-13.9958,53.67002,0.7325982527961693,0.11614590068164528
1.4679,22.5361,66.10778,0.813066909915783,0.5086468484960198
1.4836,22.4926,62.37147,0.7897561015908646,-0.24430831725007904
1.5171,-30.6286,87.048836,0.9329996570203014,0.4261711399764316
1.5149,-52.2189,98.45104,0.9922249744891529,-0.6567794499885666
1.51,14.4174,49.068592,0.7004897715170437,-0.25431550602875097
1.5351,-50.6472,103.188675,1.0158182662267892,-0.38777632563444847
1.5556,54.5319,52.279022,0.723042336243183,-0.723042336243183
1.5522,-22.8525,77.607864,0.8809532564217015,0.4289999927358128
1.5588,8.8878,111.47533,1.0558187817992253,-0.49560380700654544
1.5639,-52.778,106.15549,1.0303178635741497,0.012872913714752686
1.6199,-53.8273,101.95838,1.0097444231091353,0.48543125775859125
1.6185,-3.7162,58.248764,0.7632087787755065,0.34079651354300433
1.6671,26.1541,71.78927,0.847285489076734,0.5637711474803832
1.6682,5.1134,49.908787,0.7064615134598629,-0.06957620444035528
1.7016,-51.1035,102.28521,1.0113615080672194,-0.42810761923128376
1.7063,8.6285,47.78297,0.691252269435696,-0.05510539420440179
1.7097,19.3219,75.00004,0.8660256347245157,-0.8660256347245157
1.6989,4.9367,49.28491,0.7020321217722164,-0.7020321217722164
1.7196,-50.415,102.80241,1.013915233143284,-1.013915233143284
1.724,41.7405,39.40181,0.6277086107422775,-0.6259804207208696
1.7567,14.1064,50.73343,0.7122740343435243,0.28474880129486496
